"lstd_iii","lstn_iii","lstd_ii","lstn_ii","lstd_i","lstn_i","ppt_i","ppt_ii","ppt_iii","estagio","variedade","solo","espac","tch"
297.578482727914,287.829818874765,305.734588692325,293.227954692041,300.440755455187,287.153000692947,203.2,989.4,189.4,5,"RB867515","LP","1,4",57.47
297.552660065396,287.853474191504,306.01691331215,293.224302113582,300.324478247215,287.255292373323,203.2,989.4,189.4,5,"RB867515","LP","1,4",57.44
294.271928374656,287.927489414695,305.199045257773,292.349099804305,296.624807162534,288.11900456621,210.6,847.1,141.7,5,"SP801842","LP","1,4",58.22
294.308962462264,287.555525043424,304.613262346088,291.730895413794,297.530174583476,288.840373528272,206.8,850.9,141.7,5,"SP801842","LP","1,4",71.32
294.334982124617,287.300931445604,304.145184144819,291.467850637523,297.84225485189,288.642749627422,206.8,850.9,141.7,5,"SP801842","LP","1,4",48.09
294.357286653937,287.003560236287,304.365284899511,291.324125892852,297.626735687499,288.51592387265,206.8,850.9,141.7,5,"SP801842","LP","1,4",48.1
295.046867694805,286.80484687787,305.30432224026,291.685732401941,298.04232224026,287.536210514233,210.6,847.1,141.7,5,"SP801842","LP","1,4",29.84
297.181101457199,288.270651496168,305.175295355175,292.204889464082,299.449737820836,286.882867721064,142.7,870,98.3,5,"RB867515","R","1,4",77.53
297.541710018027,288.016125601418,305.043367772038,292.092221858103,299.454437290755,285.857398328691,142.7,870,98.3,5,"SP813250","LP","1,4",77.55
297.044951747319,288.18787149206,305.460513244645,292.134609459974,299.548588110956,286.721923861186,148.4,864.3,99.2,5,"RB867515","LP","1,4",86.98
296.827667610954,287.190787545788,305.43933427762,292.785995879121,299.272516095802,287.238666333666,169.8,865.6,97.4,5,"RB867515","LP","1,4",76.18
297.539277530623,286.785743894917,300.115944197289,292.934493894917,308.786209348805,294.399342379765,250,386.4,96.1,5,"RB867515","LP","1,4",76.21
297.610270169102,289.71198836517,306.429361078193,292.446966720149,298.393342561582,287.989109577291,222.4,727.1,204.5,5,"SP801842","LP","1,4",76.71
